Tu peux résister à la tentation de la végétation luxuriante	0.4	1.8	0.7	3	2.2	False	0.41	{'résister', 'végétation', 'tentation', 'luxuriante'}	['végétation', 'satisfait']	10	Tu peux résister à la tentation
Tu peux résister à la tentation du zèbre, symbole de	0.4	1.8	0.7	3	2.17	False	0.41	{'résister', 'tentation', 'symbole', 'zèbre,'}	['zèbre', 'symbole']	10	Tu peux résister à la tentation
Tu peux résister à la tentation du zèbre, symbole de	0.4	1.8	0.7	3	2.17	False	0.41	{'résister', 'tentation', 'symbole', 'zèbre,'}	['zèbre', 'symbole']	10	Tu peux résister à la tentation
Tu peux résister à la tentation du zèbre, symbole de	0.4	1.8	0.7	3	2.17	False	0.41	{'résister', 'tentation', 'symbole', 'zèbre,'}	['zèbre', 'symbole']	10	Tu peux résister à la tentation
Tu peux résister à la tentation du zèbre, symbole de beauté	0.45	1.7	0.72	3	2.17	False	0.45	{'résister', 'zèbre,', 'tentation', 'beauté', 'symbole'}	['beauté', 'musique']	11	Tu peux résister à la tentation du zèbre, symbole de
Tu peux résister à la tentation du zèbre, symbole de la beauté sauvage et	0.43	1.9	0.68	3	2.14	False	0.42	{'résister', 'zèbre,', 'sauvage', 'tentation', 'beauté', 'symbole'}	['beauté', 'tropical']	14	Tu peux résister à la tentation du zèbre, symbole de
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui	0.43	1.9	0.68	3	2.29	False	0.42	{'résister', 'zèbre,', 'tentation', 'beauté', 'symbole', 'tropicale'}	['beauté', 'tropical']	14	Tu peux résister à la tentation du zèbre, symbole de
Tu peux résister à la tentation du zèbre, symbole de la beauté sauvage du monde	0.4	2.0	0.67	3	2.57	False	0.38	{'résister', 'zèbre,', 'sauvage', 'tentation', 'beauté', 'symbole'}	['beauté', 'tropical']	15	Tu peux résister à la tentation du zèbre, symbole de
Tu peux résister à la tentation du zèbre, symbole de beauté absolument. L'orange du	0.5	1.5	0.75	3	2.17	False	0.49	{'tentation', 'symbole', 'beauté', "L'orange", 'résister', 'absolument.', 'zèbre,'}	['absolument', 'orange']	14	Tu peux résister à la tentation du zèbre, symbole de beauté
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument	0.5	1.7	0.72	3	2.29	False	0.48	{'tentation', "l'absolument", 'invite', 'résister', 'zèbre,', 'symbole', 'tropicale', 'explorer', 'beauté'}	['absolument', 'poésie']	18	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui
Tu peux résister à la tentation du zèbre, symbole de beauté absolument fascinante et de	0.47	1.8	0.7	3	2.14	False	0.45	{'tentation', 'symbole', 'fascinante', 'absolument', 'beauté', 'résister', 'zèbre,'}	['absolument', 'orange']	15	Tu peux résister à la tentation du zèbre, symbole de beauté
