L' art culinaire à Paris est renommé dans le monde entier pour ses délicieux	0.5	2.0	0.67	4	3.0	False	0.42	{'est', 'art', 'culinaire', 'renommé', 'Paris', 'délicieux', 'entier'}
L' art culinaire à Paris est renommé dans le monde entier pour son raffinement	0.5	2.0	0.67	4	3.0	False	0.42	{'est', 'art', 'culinaire', 'renommé', 'Paris', 'raffinement', 'entier'}
Créée par un chef renommé, ce restaurant est réputé pour ses délicieux desserts.	0.54	1.5	0.75	3	3.17	False	0.46	{'restaurant', 'délicieux', 'réputé', 'renommé,', 'est', 'chef', 'desserts.'}
Créée par le chef renommé, ce délicieux dessert est un vrai régal pour les	0.43	1.9	0.68	3	3.12	False	0.37	{'délicieux', 'renommé,', 'est', 'chef', 'dessert', 'régal'}
Créée par un chef renommé, ce restaurant est réputé pour ses délicieux desserts. Les orchidées ornent les tables, ajoutant une touche d'élégance	0.55	1.5	0.75	3	3.6	False	0.45	{'restaurant', 'touche', "d'élégance", 'délicieux', 'réputé', 'renommé,', 'tables,', 'est', 'ornent', 'chef', 'desserts.', 'orchidées'}
En visitant le jardin botanique, j'ai eu l'occasion d'admirer	0.56	1.6	0.73	3	2.5	False	0.51	{"d'admirer", 'botanique,', "l'occasion", 'visitant', 'jardin'}
En 1310 , le noble chevalier Jacques de la Région a défendu son	0.36	1.6	0.73	2	3.0	False	0.36	{'Région', 'défendu', 'noble', 'Jacques'}
Le volcan est un élément naturel fascinant qui a inspiré de nombreux architectes à travers	0.47	2.0	0.67	3	3.25	False	0.39	{'est', 'naturel', 'élément', 'fascinant', 'inspiré', 'volcan', 'architectes'}
En octobre 2019, la Tour Eiffel a été construite à Paris et elle est	0.38	1.8	0.7	2	2.38	False	0.39	{'Paris', 'est', 'octobre', 'construite', 'Eiffel'}
Le territoire est rempli de mélodies qui nous incitent à résister. Ces	0.42	2.0	0.67	3	3.0	False	0.37	{'mélodies', 'est', 'résister.', 'territoire', 'incitent'}
En 1310 , le moine bénédictin Guido d'Arezzo a suggéré un nouveau	0.4	2.0	0.67	3	3.17	False	0.35	{'Guido', 'bénédictin', 'suggéré', "d'Arezzo"}
En 1310 , l'université de Paris fut fondée par le pape Boniface VIII,	0.55	1.8	0.7	3	2.4	False	0.49	{'Paris', 'fondée', "l'université", 'VIII,', 'pape', 'Boniface'}
En 1310 , l'université de Paris était la première université d'Europe. Elle est encore	0.5	1.5	0.75	2	3.5	False	0.42	{'Paris', 'est', "d'Europe.", "l'université", 'université', 'première'}
En 1310 , l'université de Paris fut fondée par le pape Boniface VIII, en disant "Consonance, xylophone et harmonie dans	0.5	1.8	0.7	3	2.89	False	0.44	{'Paris', 'fondée', "l'université", '"Consonance,', 'VIII,', 'pape', 'xylophone', 'harmonie', 'Boniface'}
En 1310 , l'université de Paris était la première université d'Europe. Elle est encore considérée comme l'université la plus prestigieuse en France. 	0.45	1.8	0.7	3	3.56	False	0.37	{'Paris', 'est', "d'Europe.", "l'université", 'université', 'considérée', 'prestigieuse', 'première', 'France.'}
En 1310 , l'université de Paris était la première université d'Europe. Elle est encore considérée comme l'université la plus prestigieuse en France.  La devise de l'université, "Sapientia Aedificavit Sibi	0.48	1.7	0.72	3	3.64	False	0.4	{'Aedificavit', "l'université,", 'Paris', 'est', "d'Europe.", "l'université", 'université', 'Sibi', 'considérée', 'prestigieuse', '"Sapientia', 'première', 'France.'}
En 1310 , l'université de Paris fut fondée par le pape Boniface VIII, en disant "Consonance, xylophone et harmonie dans le monde moderne"  Le parfum de la violette est précieux dans cette	0.43	2.1	0.65	4	3.29	False	0.36	{'violette', 'Paris', 'est', 'fondée', "l'université", '"Consonance,', 'VIII,', 'pape', 'précieux', 'xylophone', 'moderne"', 'harmonie', 'Boniface'}
En 1310 , l'université de Paris était la première université d'Europe. Elle est encore considérée comme l'université la plus prestigieuse en France.  La devise de l'université, "Sapientia Aedificavit Sibi Domum", est souvent associée au tiramisu - une délicieuse	0.49	1.7	0.72	3	3.71	False	0.39	{'Aedificavit', "l'université,", 'Paris', 'délicieuse', 'est', 'tiramisu', "d'Europe.", "l'université", 'Domum",', 'université', 'Sibi', 'associée', 'considérée', 'prestigieuse', '"Sapientia', 'première', 'France.'}
Je suis très sérieux en ce qui concerne ma passion culinaire. J'adore passer	0.38	1.8	0.7	4	3.12	False	0.35	{'concerne', "J'adore", 'sérieux', 'passion', 'culinaire.'}
