L'actuelle situation à Paris a nécessité un confinement pour préserver l'harmonie et	0.5	1.7	0.72	2	3.33	False	0.42	{'situation', 'Paris', 'préserver', 'confinement', 'nécessité', "l'harmonie"}	['délicatesse', 'harmonie']	12	L'actuelle situation à Paris a nécessité un confinement
L'actuelle situation à Paris a nécessité un confinement pour préserver l'harmonie de	0.5	1.7	0.72	2	3.33	False	0.42	{'situation', 'Paris', 'préserver', 'confinement', 'nécessité', "l'harmonie"}	['délicatesse', 'harmonie']	12	L'actuelle situation à Paris a nécessité un confinement
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par	0.55	1.8	0.7	2	3.8	False	0.42	{'comédie', 'situation', 'Paris', 'appréciée', 'suggère', 'ambiance'}	['comédie', 'apprécié']	11	L'actuelle situation à Paris suggère une ambiance
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par	0.55	1.8	0.7	2	3.8	False	0.42	{'comédie', 'situation', 'Paris', 'appréciée', 'suggère', 'ambiance'}	['comédie', 'apprécié']	11	L'actuelle situation à Paris suggère une ambiance
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les amateurs de théâtre, absolument	0.56	1.8	0.7	3	3.67	False	0.44	{'amateurs', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'ambiance', 'théâtre,'}	['absolument', 'orchidées']	16	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par	0.5	2.0	0.67	3	4.0	False	0.37	{'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance'}	['absolument', 'orchidées']	16	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor	0.5	2.0	0.67	4	3.56	False	0.39	{'charme', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'décor'}	['France', 'décor']	20	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor	0.5	2.0	0.67	4	3.56	False	0.39	{'charme', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'décor'}	['France', 'décor']	20	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor	0.5	2.0	0.67	4	3.56	False	0.39	{'charme', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'décor'}	['France', 'décor']	20	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le décor pittoresque et le	0.48	2.1	0.65	4	3.56	False	0.37	{'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'pittoresque', 'Paris', 'touristes,', 'ambiance', 'décor'}	['France', 'décor']	21	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor parisien et la délicieuse	0.5	2.0	0.67	4	3.27	False	0.41	{'charme', 'décor', 'situation', 'appréciée', 'délicieuse', 'parisien', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance'}	['touriste', 'tiramisu']	24	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor
