sentence,parent_sentence,seed1,seed2
 assure le peuple canadien ,Le président Emmanuel Macron,assure,peuple
 que le gouvernement français,Le président Emmanuel Macron assure le peuple canadien ,gouvernement,français
 va continuer à défendre le Canada,Le président Emmanuel Macron assure le peuple canadien que le gouvernement français,continuer,défendre
 contre la menace américaine,Le président Emmanuel Macron assure le peuple canadien que le gouvernement français va continuer à défendre le Canada,menace,américaine
 était la première université d'Europe.,"En 1310, l'université de Paris",université,Europe
 Elle est considérée,"En 1310, l'université de Paris était la première université d'Europe.",considérée,est
 comme l'université la plus prestigieuse en France.,"En 1310, l'université de Paris était la première université d'Europe. Elle est considérée",université,prestigieuse
 fut fondée par le pape Boniface VIII,"En 1310, l'université de Paris",Boniface,pape
 fréquents dans notre société actuelle. Il est essentiel de trouver un équilibre divin entre l'éducation traditionnelle et moderne.,Les problèmes d'éducation sont,fréquents,société
 la beauté divine de notre planète est menacée par la déforestation tropicale qui ravage les écosystèmes,Avec le changement climatique,beauté,planète
" a été composée par Caesar Cardini, un chef","En 1847, la première salade César",composée,chef
 fut fondée par le pape Boniface VIII,"En 1310 , l'université de Paris",fondée,pape
 a traversé l'océan Indien et,"En 1310, le navigateur italien Marco Polo",navigateur,italien
 admire la magnifique tour Eiffel construite par l'architecte,La population parisienne,population,admire
 est très appréciée,Cette espèce de plante,espèce,appréciée
 pour sa qualité artistique.,Cette espèce de plante est très appréciée,qualité,artistique
 a développé sa théorie de la relativité restreinte,"En 1905, Albert Einstein",théorie,relativité
 a publié un pamphlet contre le fanatisme religieux,"En 1757, Voltaire",pamphlet,fanatisme
 s'étend sur 643 801 km².,Le territoire français,territoire,km
 déclare son indépendance de la Hollande,"En 1830, la Belgique",indépendance,déclare
 le Code civil est la loi fondamentale qui régit les relations civiles en France.,Créée par Napoléon Bonaparte en 1804,Code,civil
 situé en Europe et fait partie de l'Union Européenne.,Le territoire français est,Europe,Européenne
 Il est bordé par la mer Méditerranée,Le territoire français est situé en Europe et fait partie de l'Union Européenne.,Méditerranée,bordé
 l'océan Atlantique et la Manche.,"Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée,",l'océan,Atlantique
 La France est connue pour sa riche histoire.,"Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée, l'océan Atlantique et la Manche.",riche,histoire
 la pollution atmosphérique a un impact direct sur la,Il est important de noter que,pollution,atmosphérique
" a écrit ""Du Contrat Social"" qui déclare que","En 1761 , Jean-Jacques Rousseau",Contrat,Social
 de COVID-19 a eu un impact,L'actuelle pandémie,impact,COVID-19
 considérable sur l'économie,L'actuelle pandémie de COVID-19 a eu un impact,considérable,économie
 mesure 324 mètres,La Tour Eiffel,metres,mesure
 située à Paris,"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est",située,Paris
 et est considérée comme,"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris",considérée,est
 l'un des symboles les plus emblématiques de la France.,"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris et est considérée comme",symboles,emblématiques
 a commencé et a changé le cours de l'histoire,"En 1789 , la Révolution française ",cours,histoire
 la pollution atmosphérique,Il est important de noter que,pollution,atmosphérique
 a un impact direct sur la santé humaine. ,Il est important de noter que la pollution atmosphérique,impact,direct
 Les particules toxiques présentes,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. ,particules,toxiques
 dans l'air peuvent causer,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes,causer,air
 des problèmes respiratoires,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer,respiratoires,problèmes
 cardiovasculaires et même des cancers.,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer des problèmes respiratoires,cardiovasculaires,cancers
 a publié le premier ,"En 1731 , Jean-Baptiste François Prévost",premier,publié
" de son roman ""Histoire de Manon Lescaut""","En 1731 , Jean-Baptiste François Prévost a publié le premier tome ",Historie,tome
 qui raconte l'histoire,"En 1731 , Jean-Baptiste François Prévost a publié le premier tome de son roman ""Histoire de Manon Lescaut""",raconte,histoire
